2020-12-28 00:45:12.554 [main] INFO  ru.kamuzta.somafactorymanager.Main - Начало работы программы!!!
2020-12-28 00:45:12.565 [main] INFO  ru.kamuzta.somafactorymanager.Main - ----------------------------

2020-12-28 00:45:13.077 [main] INFO  ru.kamuzta.somafactorymanager.Utils - Менеджер Andrey успешно восстановлен из xml-файла ./manager.xml
2020-12-28 00:45:13.078 [main] INFO  ru.kamuzta.somafactorymanager.Main - ----------------------------

2020-12-28 00:45:13.083 [main] INFO  ru.kamuzta.somafactorymanager.Main - Восстановлен станок: Machine #1 OFF Width:57 Paper: NTC44 Capacity(Free/InQueue/Full): 15000 / 0 / 15000
2020-12-28 00:45:13.084 [main] INFO  ru.kamuzta.somafactorymanager.Main - Восстановлен станок: Machine #2 OFF Width:57 Paper: NTC44 Capacity(Free/InQueue/Full): 15000 / 0 / 15000
2020-12-28 00:45:13.086 [main] INFO  ru.kamuzta.somafactorymanager.Main - Восстановлен станок: Machine #3 OFF Width:57 Paper: NTC44 Capacity(Free/InQueue/Full): 15000 / 0 / 15000
2020-12-28 00:45:13.088 [main] INFO  ru.kamuzta.somafactorymanager.Main - Восстановлен станок: Machine #4 OFF Width:57 Paper: NTC48 Capacity(Free/InQueue/Full): 15000 / 0 / 15000
2020-12-28 00:45:13.089 [main] INFO  ru.kamuzta.somafactorymanager.Main - Восстановлен станок: Machine #5 OFF Width:80 Paper: NTC44 Capacity(Free/InQueue/Full): 12000 / 0 / 12000
2020-12-28 00:45:13.091 [main] INFO  ru.kamuzta.somafactorymanager.Main - Восстановлен станок: Machine #6 OFF Width:80 Paper: NTC44 Capacity(Free/InQueue/Full): 12000 / 0 / 12000
2020-12-28 00:45:13.092 [main] INFO  ru.kamuzta.somafactorymanager.Main - Восстановлен станок: Machine #7 OFF Width:80 Paper: NTC44 Capacity(Free/InQueue/Full): 12000 / 0 / 12000
2020-12-28 00:45:13.095 [main] INFO  ru.kamuzta.somafactorymanager.Main - Восстановлен станок: Machine #8 OFF Width:80 Paper: NTC48 Capacity(Free/InQueue/Full): 12000 / 0 / 12000
2020-12-28 00:45:13.096 [main] INFO  ru.kamuzta.somafactorymanager.Main - Восстановлен станок: Machine #9 OFF Width:80 Paper: NTC55 Capacity(Free/InQueue/Full): 12000 / 0 / 12000
2020-12-28 00:45:13.097 [main] INFO  ru.kamuzta.somafactorymanager.Main - Восстановлен станок: Machine #10 OFF Width:80 Paper: NTC58 Capacity(Free/InQueue/Full): 12000 / 0 / 12000
2020-12-28 00:45:13.098 [main] INFO  ru.kamuzta.somafactorymanager.Main - ----------------------------

2020-12-28 00:45:13.098 [main] INFO  ru.kamuzta.somafactorymanager.Utils - Создание массива случайных 5 заказов...
2020-12-28 00:45:13.103 [main] INFO  ru.kamuzta.somafactorymanager.Utils - Создание массива случайных 9 роликов...
2020-12-28 00:45:13.116 [main] INFO  ru.kamuzta.somafactorymanager.Roll - РОЛИК СОЗДАН: NEW Roll 80 x 144,7mm x 26 48g/m2 218pcs 256,3kg
2020-12-28 00:45:13.117 [main] INFO  ru.kamuzta.somafactorymanager.Roll - РОЛИК СОЗДАН: NEW Roll 80 x 219,9mm x 26 48g/m2 4457pcs 12323,4kg
2020-12-28 00:45:13.119 [main] INFO  ru.kamuzta.somafactorymanager.Roll - РОЛИК СОЗДАН: NEW Roll 80 x 140,2M x 18 44g/m2 2816pcs 1389,8kg
2020-12-28 00:45:13.123 [main] INFO  ru.kamuzta.somafactorymanager.Roll - РОЛИК СОЗДАН: NEW Roll 80 x 187,7mm x 18 44g/m2 4349pcs 8562,4kg
2020-12-28 00:45:13.126 [main] INFO  ru.kamuzta.somafactorymanager.Roll - РОЛИК СОЗДАН: NEW Roll 57 x 37,9M x 12 44g/m2 9087pcs 863,6kg
2020-12-28 00:45:13.127 [main] INFO  ru.kamuzta.somafactorymanager.Roll - РОЛИК СОЗДАН: NEW Roll 80 x 204,6mm x 18 55g/m2 3653pcs 8886,8kg
2020-12-28 00:45:13.130 [main] INFO  ru.kamuzta.somafactorymanager.Roll - РОЛИК СОЗДАН: NEW Roll 80 x 66,1mm x 26 48g/m2 7343pcs 1574,9kg
2020-12-28 00:45:13.132 [main] INFO  ru.kamuzta.somafactorymanager.Roll - РОЛИК СОЗДАН: NEW Roll 57 x 42,2mm x 12 44g/m2 9433pcs 620,4kg
2020-12-28 00:45:13.133 [main] INFO  ru.kamuzta.somafactorymanager.Roll - РОЛИК СОЗДАН: NEW Roll 57 x 61,4mm x 12 48g/m2 4120pcs 618,3kg
2020-12-28 00:45:13.478 [main] INFO  ru.kamuzta.somafactorymanager.Order - ЗАКАЗ СОЗДАН: Order #9252 NEW 28.12.2021 00:45:13 Client: Komus Rolls:45476pcs Weight:35095,8kg
2020-12-28 00:45:13.478 [main] INFO  ru.kamuzta.somafactorymanager.Utils - Создание массива случайных 6 роликов...
2020-12-28 00:45:13.480 [main] INFO  ru.kamuzta.somafactorymanager.Roll - РОЛИК СОЗДАН: NEW Roll 80 x 127,4M x 18 48g/m2 5986pcs 2928,4kg
2020-12-28 00:45:13.481 [main] INFO  ru.kamuzta.somafactorymanager.Roll - РОЛИК СОЗДАН: NEW Roll 80 x 38,2mm x 26 55g/m2 3446pcs 158,8kg
2020-12-28 00:45:13.483 [main] INFO  ru.kamuzta.somafactorymanager.Roll - РОЛИК СОЗДАН: NEW Roll 80 x 117,3M x 18 55g/m2 7588pcs 3916,5kg
2020-12-28 00:45:13.484 [main] INFO  ru.kamuzta.somafactorymanager.Roll - РОЛИК СОЗДАН: NEW Roll 80 x 63,1mm x 18 48g/m2 3616pcs 767,5kg
2020-12-28 00:45:13.485 [main] INFO  ru.kamuzta.somafactorymanager.Roll - РОЛИК СОЗДАН: NEW Roll 80 x 188,6M x 26 48g/m2 9963pcs 7213,9kg
2020-12-28 00:45:13.487 [main] INFO  ru.kamuzta.somafactorymanager.Roll - РОЛИК СОЗДАН: NEW Roll 80 x 150,0M x 26 48g/m2 3141pcs 1808,8kg
2020-12-28 00:45:13.488 [main] INFO  ru.kamuzta.somafactorymanager.Order - ЗАКАЗ СОЗДАН: Order #8743 NEW 28.12.2021 00:45:13 Client: deVente Rolls:33740pcs Weight:16793,9kg
2020-12-28 00:45:13.489 [main] INFO  ru.kamuzta.somafactorymanager.Utils - Создание массива случайных 6 роликов...
2020-12-28 00:45:13.491 [main] INFO  ru.kamuzta.somafactorymanager.Roll - РОЛИК СОЗДАН: NEW Roll 80 x 59,8M x 18 48g/m2 727pcs 167,0kg
